id,data_type,expression,time_expression,note,provenance_slug
12,flow,"round(greatest(0, 1.177027 * jo::Johnson_Yellopine_merge::flow + 3.02123 * st::EFSF_Stibnite::flow +14.26))",jo::Johnson_Yellopine_merge::flow st::EFSF_Stibnite::flow,"EFSF Salmon just below the Johnson Cr confluence (5349 put-in): calibrated estimate of the EFSF above the confluence (OLS vs USGS 13312000, retired 1943; window 1928-08-13..1943-07-14, n=5044, r2=0.9801, RMSE=26.5 cfs) plus live Johnson Cr - the 1.177 Johnson coefficient is the fit term 0.177 plus Johnson itself. Replaces the uncalibrated Johnson + Stibnite sum, which omitted the ~87 mi2 of EFSF drainage between the Stibnite gauge (19.3 mi2) and the confluence - scored against measured 13312000 + Johnson over 1928-43 the raw sum ran bias -113 cfs / RMSE 191 vs 0 / 26.5 for this formula (~28% under-read at peak melt). Stibnite CI [+2.50, +3.53], Johnson CI [+0.141, +0.216] (monthly-block bootstrap). Stibnite ices over in winter (direct measurement typically resumes mid-Mar to mid-Apr) - its feed transmits estimate-quality values continuously so the calc stays live with reduced winter accuracy. See regression/efsf_13312000_from_johnson_stibnite.md.",efsf_13312000_from_johnson_stibnite
13,flow,"round(greatest(0, sm::Suislaw_Mapleton_merge::flow - lc::14307605::flow))",sm::Suislaw_Mapleton_merge::flow lc::14307605::flow,Siuslaw above Lake Creek = Siuslaw at Mapleton − Lake Creek at Swisshome,
14,flow,"round(greatest(0, 0.8285 * rp::14330000::flow - 292.72))",rp::14330000::flow,"Rogue above Prospect (14328000 retired 2024-06-09) estimated from 14330000 via linear fit. n=8599 daily means / ~23.5 yr overlap (non-contiguous 1985-01-01..2024-06-09), r2=0.9575, RMSE=117 cfs. Fit is stable across 1970-2024 sub-windows (slope 0.83-0.84, r2 0.96).",rogue_14328000_from_14330000
15,flow,"round(greatest(0, least(mr::McKenzie_Rainbow::flow, greatest(tb::14158850::flow, 0.0691955 * vd::MCKENZIE_VIDA_merge::flow + 1.21419 * tb::14158850::flow - 0.0930529 * sr::SF_McKenzie_near_Rainbow::flow + 0.116552 * sc::SF_McKenzie_Cougar_merge::flow + 0.561507 * lk::Lookout_Blue_merge::flow + 162.1))))",vd::MCKENZIE_VIDA_merge::flow tb::14158850::flow sr::SF_McKenzie_near_Rainbow::flow sc::SF_McKenzie_Cougar_merge::flow lk::Lookout_Blue_merge::flow mr::McKenzie_Rainbow::flow,"McKenzie at McKenzie Bridge (USGS 14159000 retired 1994-09-29) estimated from 5-predictor OLS fit (Vida, Trail Br Dam, SF nr Rainbow, SF abv Cougar, Lookout Cr) wrapped in a McKenzie_Rainbow ceiling and Trail Bridge floor. n=6938 daily means / 19 yr overlap 1968-10-01..1994-09-29, r2=0.9847, RMSE=94.9 cfs. Trail Bridge dominates (coef 1.21) since McKenzie Bridge sits just downstream. Ceiling is the next downstream gauge (NWRFC CMRO3, kayak gauge 177): a strict physical upper bound, replacing the legacy Vida minus SF_Rainbow minus Blue mass-balance approximation. Legacy WKCC formula agrees with this fit to within ~3.4 percent at typical flows. See regression/mckenzie_14159000_from_vida_trailbridge_sfrainbow_sfcougar_lookout.md.",mckenzie_14159000_from_vida_trailbridge_sfrainbow_sfcougar_lookout
16,flow,"round(greatest(0, least(mr::McKenzie_Rainbow::flow - mb::McKenzie_McKenzie_Bridge_calc::flow, 0.403663 * sc::SF_McKenzie_Cougar_merge::flow + 0.217772 * tb::14158850::flow + 53.43)))",sc::SF_McKenzie_Cougar_merge::flow tb::14158850::flow mr::McKenzie_Rainbow::flow mb::McKenzie_McKenzie_Bridge_calc::flow,"Horse Creek near McKenzie Bridge (USGS 14159100, last flow 2026-04-02 with a 1969-2023 gap in the record) estimated from a 2-predictor OLS fit: 0.404 * SF_Cougar + 0.218 * Trail_Bridge + 53.4. n=3508 daily means / full Horse Creek POR overlap 1962-10-01..2026-04-01, r2=0.9354, RMSE=88.4 cfs. SF Cougar dominates (coef 0.40) because Horse Creek and upper SF McKenzie drain adjacent south-side high-Cascade terrain. Ceiling enforces the mass-balance constraint that Horse Creek cannot exceed McKenzie_Rainbow minus McKenzie_Bridge_calc (the total intervening flow between the bracketing gauges). See regression/horse_14159100_from_sfcougar_trailbridge.md.",horse_14159100_from_sfcougar_trailbridge
17,flow,"round(greatest(0, 0.288564 * sm::Suislaw_Mapleton_merge::flow + 0.130486 * cp::Coquille_Powers_merge::flow + 2.12545e-06 * sm::Suislaw_Mapleton_merge::flow * sm::Suislaw_Mapleton_merge::flow -73.45))",sm::Suislaw_Mapleton_merge::flow cp::Coquille_Powers_merge::flow,"Smith River near Gardiner estimated from Siuslaw nr Mapleton (14307620) and SF Coquille at Powers (14325000) via OLS fit against USGS 14323100 (Smith River near Gardiner, retired 1973-06-30). n=2100 daily means / ~5.7 yr overlap 1967-10-01..1973-06-30 (window capped by the Siuslaw record start; target record begins 1965-10-01). Quadratic on the Siuslaw only: Siuslaw^2 block-bootstrap 95% CI [+9.5e-07, +7.4e-06] excludes zero and halves the dry-season bias (+59% to +30% of mean flow); SF Coquille^2 is not significant and would add ~1175 cfs of phantom signal at the predictor observed max, so dropped. r2=0.9366, RMSE=360.4 cfs (Siuslaw-only linear baseline 0.9278 / 384.7). Donor screening with block-bootstrap CIs (monthly blocks): SF Coquille is the only significant addition to the Siuslaw (+0.130, CI [+0.036, +0.225], VIF 4.3; the one donor south of the Smith). Rejected with CI straddling zero once Siuslaw is in: Alsea 14306500, Siletz 14305500, Umpqua-Elkton 14321000, Long Tom-Noti 14166500, Coast Fork-London 14152500 (significant vs Siuslaw alone but redundant given SF Coquille). Calc gauge co-located with the historical USGS site, no drainage-area scaling. See regression/smith_14323100_from_siuslaw_sfcoquille.md.",smith_14323100_from_siuslaw_sfcoquille
18,flow,"round(greatest(0, 1.47919 * kr::SF_Salmon_Krassel_merge::flow + 1.87198 * jo::Johnson_Yellopine_merge::flow + 0.0509071 * wb::Salmon_Whitebird_merge::flow -41.03))",kr::SF_Salmon_Krassel_merge::flow jo::Johnson_Yellopine_merge::flow wb::Salmon_Whitebird_merge::flow,"SF Salmon at mouth nr Mackay Bar estimated from SF Salmon nr Krassel (13310700), Johnson Cr at Yellow Pine (13313000), and Salmon at White Bird (13317000) via OLS fit against USGS 13314300 (operated 1993-10-01..2003-09-30 only - the fit spans the entire 10-water-year record, n=3652). r2=0.9960, RMSE=183.2 cfs (Krassel-only baseline 0.9736 / 471.1). All coefficients significant by monthly-block bootstrap: Krassel [+1.28, +1.66], Johnson [+1.55, +2.17] (covers the EFSF side, beats Krassel solo), White Bird [+0.041, +0.065] (downstream mass-balance). Rejected: MF Salmon at mouth 13310199 (CI straddles 0, VIF 115 given White Bird), all quadratic terms (CIs straddle 0), EFSF Stibnite (significant on its seasonal-era subsample but cuts the window 60% and amplifies winter ice-estimate noise x10), Secesh (post-2003, no overlap). Calc gauge co-located with the historical USGS site, no drainage-area scaling. See regression/sfsalmon_13314300_from_krassel_johnson_whitebird.md.",sfsalmon_13314300_from_krassel_johnson_whitebird
19,flow,"round(greatest(0, 0.254289 * jo::Johnson_Yellopine_merge::flow + 0.00910427 * wb::Salmon_Whitebird_merge::flow -10.76))",jo::Johnson_Yellopine_merge::flow wb::Salmon_Whitebird_merge::flow,"Secesh River nr Burgdorf estimated from Johnson Cr at Yellow Pine (13313000) and Salmon at White Bird (13317000) via OLS fit against USGS 13313500 (retired 1952-05-31 - the fit spans the full 1943-04-12..1952-05-31 record, n=3338). r2=0.9731, RMSE=48.2 cfs (Johnson-only baseline 0.9641 / 55.7). Johnson CI [+0.183, +0.344], White Bird CI [+0.0053, +0.0120] (monthly-block bootstrap). Salmon at Salmon 13302500 rejected (CI straddles 0, negative). Quadratic terms statistically significant but practically nil - the only notable residual is a Mar-Apr melt-onset bias (-15%), a timing mismatch a flow polynomial cannot fix - kept linear. Krassel (begins 1966), EFSF Stibnite (27 days overlap) and all post-2003 Secesh instrumentation have no usable overlap with the target. 1943-52 calibration - free-flowing wilderness basin, stationarity assumed. Co-located with the historical USGS site, no drainage-area scaling. See regression/secesh_13313500_from_johnson_whitebird.md.",secesh_13313500_from_johnson_whitebird
20,flow,"round(greatest(0, 0.259162 * tw::14242580::flow + 0.210774 * ef::EF_Lewis_Washington_merge::flow -75.92))",tw::14242580::flow ef::EF_Lewis_Washington_merge::flow,"SF Toutle at Toutle estimated from Toutle at Tower Rd (14242580, downstream mass-balance - it contains the SF flow) and EF Lewis nr Heisson (14222500) via OLS fit against USGS 14241500 (retired 2013-09-29). Window 1996-02-01..2013-09-29, n=6451 daily means (~17.7 yr - a requested 1989 start is clipped by the target's 1989-96 gauge outage, so the fit is entirely post-SRS and post-outage). r2=0.9441, RMSE=188.8 cfs (Tower-only baseline 0.9358 / 202.4). Tower CI [+0.236, +0.283], EF Lewis CI [+0.162, +0.263] (monthly-block bootstrap). Rejected: NF-SRS 14240525 (marginal given Tower and cuts the sample by a third), Tilton (weaker than EF Lewis), all quadratic terms (CIs straddle 0). Pre-1989 record excluded - 1980 eruption and SRS construction make the early Toutle series non-stationary. Co-located with the historical USGS site, no drainage-area scaling. See regression/sftoutle_14241500_from_tower_eflewis.md.",sftoutle_14241500_from_tower_eflewis
21,flow,"round(greatest(0, 1.14988 * least(ef::EF_Lewis_Washington_merge::flow, 15600) + 0.24075 * ti::14236200::flow + -3.84488e-05 * least(ef::EF_Lewis_Washington_merge::flow, 15600) * least(ef::EF_Lewis_Washington_merge::flow, 15600) +187.2))",ef::EF_Lewis_Washington_merge::flow ti::14236200::flow,"Kalama below Italian Cr estimated from EF Lewis nr Heisson (14222500, quadratic) and Tilton ab Bear Canyon Cr (14236200) via OLS fit against USGS 14223500 (retired 1982-09-12). Window 1956-10-01..1982-09-12, n=7199 daily means. r2=0.9349, RMSE=312.6 cfs (EF-only linear baseline 0.9148 / 357.5). EF CI [+1.074, +1.239], Tilton CI [+0.187, +0.303], EF^2 CI [-5.71e-05, -3.03e-05] (monthly-block bootstrap; the concavity halves the dry-season bias and is decisively significant). DEPLOYMENT CAP: every EF reference is least(ef, 15600) - the fitted parabola's vertex sits at EF=14955 cfs just inside the observed range [30, 15600], so an uncapped major EF flood (>20000 cfs has occurred) would drive the estimate toward zero; with the cap it plateaus at the calibrated edge. Fit calibrated on 1956-82 data - free-flowing basins, stationarity assumed (see the Coweeman note for the out-of-era evidence on the same donor). See regression/kalama_14223500_from_eflewis_tilton.md.",kalama_14223500_from_eflewis_tilton
22,flow,"round(greatest(0, 0.574501 * ef::EF_Lewis_Washington_merge::flow + -9.5595e-06 * ef::EF_Lewis_Washington_merge::flow * ef::EF_Lewis_Washington_merge::flow -4.64))",ef::EF_Lewis_Washington_merge::flow,"Coweeman nr Kelso estimated from EF Lewis nr Heisson (14222500, quadratic) via OLS fit against USGS 14245000 (retired 1984-09-30). Window 1950-10-01..1984-09-30, n=12417 daily means. r2=0.8975, RMSE=173.7 cfs (linear baseline 0.8946 / 176.1; the quadratic improves the dry-season bias -18.0% to -11.1%). EF^2 CI [-1.48e-05, -2.38e-06] excludes 0; parabola vertex at EF=30000 cfs is beyond any observed flow, so no input cap is needed. Tilton rejected as a second donor (significant but ~1% RMSE gain). OUT-OF-ERA VALIDATION: scored against the independent WA Ecology 26C075 telemetry record (2006-2019, n=3643, never seen by the fit): bias -1.1% of mean, r2=0.8910, RMSE=156.4 cfs - the 1950s-era relationship holds 25+ years later (docs/one-offs/coweeman_doe_validation.py). See regression/coweeman_14245000_from_eflewis.md.",coweeman_14245000_from_eflewis
23,flow,"round(greatest(0, 0.204922 * tw::14242580::flow + 0.108959 * ti::14236200::flow +0.6843))",tw::14242580::flow ti::14236200::flow,"Green River (Toutle drainage) above Beaver Cr estimated from Toutle at Tower Rd (14242580, downstream mass-balance) and Tilton ab Bear Canyon Cr (14236200) via OLS fit against USGS 14240800 (retired 1994-09-29). Post-SRS window 1989-10-01..1994-09-29, n=1825 daily means (the 1981-88 eruption-recovery era is excluded; full-window refit drifts coefficients only ~8-13%). r2=0.9530, RMSE=101.4 cfs (Tower-only baseline 0.9397 / 114.8). Tower CI [+0.175, +0.234], Tilton CI [+0.055, +0.170] (monthly-block bootstrap). NF-SRS rejected (CI [-0.211, +0.105] straddles 0). Co-located with the historical USGS site at the AW run's take-out, no drainage-area scaling. See regression/green_14240800_from_tower_tilton.md.",green_14240800_from_tower_tilton
24,flow,"round(6.192 * max(fc::14209700::gauge - 2.45, 0) ** 3.288, 0)",fc::14209700::gauge,"Fish Creek (USGS 14209700) same-gauge stage->discharge rating, power law Q=6.192*(h-2.45)^3.288; discharge ended 2024-11-27 (USGS retired the rating). Fit n=119623 paired 15-min obs 2021-06..2024-11, binned-median log-log r2=0.998; validated by recent gaugings (-1% bias), the 1999 confluence bracket, and a live Three Lynx cross-check. ~0.05 ft/yr mid-flow aggradation; re-check after floods or when USGS re-rates. See regression/fishcreek_14209700_stage_rating.md.",fishcreek_14209700_stage_rating
25,flow,"round(0.95 * rr::14209700::flow, 0)",rr::14209700::flow,"Roaring River (historical USGS 14209600, DA 42.4) drainage-area surrogate ~= 0.95 * Fish Creek (14209700, DA 45.1). DA ratio 0.94, Clackamas boating-season bridge 0.97; Roaring 1966-68 record does not overlap Fish Creek so no direct regression. Reads Fish Creek's calc flow (chained calc, topo-sorted). Replaces the dam-regulated Oak Grove Fork stand-in. See regression/roaring_from_fishcreek.md.",roaring_from_fishcreek
26,flow,"round(21.55 * max(lns::14181900::gauge - 2.35, 0) ** 2.637, 0)",lns::14181900::gauge,"Little North Santiam at Elkhorn (USGS 14181900 / NWRFC LNEO3) same-gauge stage->discharge rating, power law Q=21.55*(h-2.35)^2.637. Site reports gage height only -- USGS 00060 has 2 values ever (1972-73) and NWRFC LNEO3 publishes stage only, so there is no live discharge to fetch. Fit on n=10 current-gage (2020+) USGS field gaugings, log-log r2=0.999, relRMSE 7.1%; cross-validates the 2007 (3630 cfs) and 1973 (2680 cfs) high-flow gaugings within ~1%. The modern channel passes ~+20% flow-at-stage vs the pre-2009 gage at low/mid flow (gradual drift, no datum jump); re-anchor after a major flood or new gaugings. See regression/littlensantiam_14181900_stage_rating.md.",littlensantiam_14181900_stage_rating
